cid,smiles
cid_0,B
cid_1,B([C@@H]1CCCN1C(=O)[C@@H]2CCCN2)(O)O
cid_2,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
cid_3,C#C
cid_4,C#CC(CCC(=O)O)N
cid_5,C#CCN(CC1=CC2=C(C=C1)NC(=NC2=O)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
cid_6,C#CCN(CC1=CC2=C(C=C1)NC(=NC2=O)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
cid_7,C#CCO
cid_8,C(#N)S
cid_9,C(=C(F)F)Cl
cid_10,C(=C(\O)/[O-])\[C@H](C(=O)[O-])O
cid_11,C(=C/C(=O)O)\C(=O)O
cid_12,C(=N)(N)N
cid_13,C(=O)(C(=O)O)N
cid_14,C(=O)(C(=O)O)O
cid_15,C(=O)(C(=O)[O-])N
cid_16,C(=O)(C(=O)[O-])[O-]
cid_17,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
cid_18,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O
cid_19,C(=O)(C(F)(F)F)O
cid_20,C(=O)(C(F)(F)F)OC(=O)C(F)(F)F
cid_21,C(=O)(N)NN
cid_22,C(=O)(N)[O-]
cid_23,C(=O)([O-])[O-]
cid_24,C(=O)C(=O)O
cid_25,C(=O)C(Cl)Cl
cid_26,C(=O)C=O
cid_27,C(=O)O
cid_28,C(=O)[O-]
cid_29,C(Br)(Br)Br
cid_30,C(Br)Br
cid_31,C(C#N)C(C(=O)O)N
cid_32,C(C(=O)C(=O)O)C(=O)O
cid_33,C(C(=O)C(=O)O)O
cid_34,C(C(=O)C(=O)O)S
cid_35,C(C(=O)C(=O)O)S(=O)(=O)O
cid_36,C(C(=O)CO)O
cid_37,C(C(=O)COP(=O)(O)O)O
cid_38,C(C(=O)N)I
cid_39,C(C(=O)O)(C(=O)O)N
cid_40,C(C(=O)O)C(=O)O
cid_41,C(C(=O)O)N
cid_42,C(C(=O)O)N(C=O)O
cid_43,C(C(=O)O)N(CC(=O)O)CC(=O)O
cid_44,C(C(=O)O)N=C(N)N
cid_45,C(C(=O)O)NCC(=O)O
cid_46,C(C(=O)O)OP(=O)(O)O
cid_47,C(C(=O)[O-])(C(=O)[O-])O
cid_48,C(C(=O)[O-])Br
cid_49,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)O)O
cid_50,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
cid_51,C(C(=O)[O-])F
cid_52,C(C(Br)(Br)Br)O
cid_53,C(C(Br)Br)(Br)Br
cid_54,C(C(C(=O)C(=O)O)C(=O)O)C(=O)O
cid_55,C(C(C(=O)O)F)[NH3+]
cid_56,C(C(C(=O)O)N)C(=O)O
cid_57,C(C(C(=O)O)N)Cl
cid_58,C(C(C(=O)O)N)N
cid_59,C(C(C(=O)O)N)O
cid_60,C(C(C(=O)O)N)OP(=O)(O)O
cid_61,C(C(C(=O)O)NC(=O)N)C(=O)O
cid_62,C(C(C(=O)O)O)(C(=O)O)N
cid_63,C(C(C(=O)O)O)(C(=O)O)O
cid_64,C(C(C(=O)O)O)C(=O)O
cid_65,C(C(C(=O)O)O)O
cid_66,C(C(C(=O)O)O)OP(=O)(O)O
cid_67,C(C(C(=O)O)S)(C(=O)O)S
cid_68,C(C(C(=O)O)S)C(=O)O
cid_69,C(C(C(C(=O)CO)O)O)O
cid_70,C(C(C(C(=O)O)O)C(=O)O)C(=O)O
cid_71,C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O
cid_72,C(C(C(C(=O)[O-])O)O)OP(=O)(O)O
cid_73,C(C(C(C(C(=O)C(=O)O)O)O)O)O
cid_74,C(C(C(C(C(=O)CO)O)O)O)O
cid_75,C(C(C(C(C(C(=O)CO)O)O)O)O)OP(=O)(O)O
cid_76,C(C(C(C(C(C(=O)O)O)O)O)O)O
cid_77,C(C(C(C(C(CO)O)O)O)O)C(=O)C(=O)O
cid_78,C(C(C(C(C(CO)O)O)O)O)O
cid_79,C(C(C(C(C(COP(=O)(O)O)O)O)O)N)O
cid_80,C(C(C(CO)O)O)O
cid_81,C(C(C=O)O)O
cid_82,C(C(CBr)Br)Cl
cid_83,C(C(CC(=O)O)C(=O)O)C(=O)O
cid_84,C(C(CC(=O)O)O)C(=O)O
cid_85,C(C(CO)(CO)CO)O
cid_86,C(C(CO)O)O
cid_87,C(C(CO)OP(=O)(O)O)O
cid_88,C(C(COP(=O)(O)O)O)O
cid_89,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
cid_90,C(C(Cl)(Cl)Cl)(Cl)Cl
cid_91,C(C(Cl)(Cl)Cl)O
cid_92,C(C(F)(F)F)Cl
cid_93,C(C(F)(F)F)O
cid_94,C(C1C(C(C(C(=O)O1)O)O)O)O
cid_95,C(C1C(C(C(C(O1)O)O)O)O)O
cid_96,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
cid_97,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O
cid_98,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)O)CO)CO)CO)O)O)O)O
cid_99,C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
cid_100,C(C1C(C(C(O1)O)O)O)O
cid_101,C(C=O)C(=O)O
cid_102,C(C=O)C(C(CO)O)O
cid_103,C(C=O)Cl
cid_104,C(C=O)O
cid_105,C(CC(=O)C(=O)O)CC(=O)O
cid_106,C(CC(=O)N)C(=O)C(=O)O
cid_107,C(CC(=O)N)C(=O)N
cid_108,C(CC(=O)N)[C@@H](C(=O)O)N
cid_109,C(CC(=O)NC(CSN=O)C(=O)NCC(=O)O)C(C(=O)O)N
cid_110,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
cid_111,C(CC(=O)O)C(=O)C(=O)O
cid_112,C(CC(=O)O)C(=O)CC(=O)O
cid_113,C(CC(=O)O)C(=O)CN
cid_114,C(CC(=O)O)C(C(=O)O)N
cid_115,C(CC(=O)O)C(C(=O)O)O
cid_116,C(CC(=O)O)C=O
cid_117,C(CC(=O)O)CC(=O)O
cid_118,C(CC(=O)O)CN
cid_119,C(CC(=O)O)CN=C(N)N
cid_120,C(CC(=O)O)CO
cid_121,C(CC(=O)O)[C@@H](C(=O)O)N
cid_122,C(CC(=O)[O-])C(=O)[O-]
cid_123,C(CC(C(=O)O)N)C=O
cid_124,C(CC(C(=O)O)N)CC(=O)O
cid_125,C(CC(C(=O)O)N)CC(C(=O)O)N
cid_126,C(CC(C(=O)O)N)CN
cid_127,C(CC(C(F)F)(C(=O)O)N)CN
cid_128,C(CC(CC(=O)O)N)CN
cid_129,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
cid_130,C(CC=O)CC=O
cid_131,C(CCC(=O)N)CC(CCS)S
cid_132,C(CCC(=O)O)CC(=O)O
cid_133,C(CCC(=O)O)CC(CCS)S
cid_134,C(CCC(=O)O)CCN
cid_135,C(CCC(=O)O)C[C@H](CCS)S
cid_136,C(CCCC(=O)O)CCC(=O)O
cid_137,C(CCCC(=O)O)CCCC(=O)O
cid_138,C(CCCCC(=O)O)CCCC(=O)O
cid_139,C(CCCN)CCCNC(N)N
cid_140,C(CCCO)CCO
cid_141,C(CCN)CC(=O)O
cid_142,C(CCN)CC(C(=O)O)N
cid_143,C(CCN)CCN
cid_144,C(CCN)CN
cid_145,C(CCN)C[C@@H](C(=O)O)N
cid_146,C(CCO)CO
cid_147,C(CCl)N(CCCl)CCCl
cid_148,C(CCl)O
cid_149,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
cid_150,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O
cid_151,C(CN)C#N
cid_152,C(CN)C(=O)O
cid_153,C(CN)C(C(=O)O)N
cid_154,C(CN)CN
cid_155,C(CN)CO
cid_156,C(CNC(=O)N)C(=O)O
cid_157,C(CNC(CO)(CO)CO)CNC(CO)(CO)CO
cid_158,C(CO)C(C(=O)O)N
cid_159,C(CO)C(CCO)(CCO)N
cid_160,C(CO)NN
cid_161,C(CO)O
cid_162,C(CO)[C@@H](C(=O)O)N
cid_163,C(COCCOCCO)O
cid_164,C(CON=C(N)N)[C@@H](C(=O)O)N
cid_165,C(CP(=O)(O)O)C(=O)O
cid_166,C(CS)C(=O)O
cid_167,C(CS)C(C(=O)O)N
cid_168,C(CS)O
cid_169,C(CS)[C@@H](C(=O)O)N
cid_170,C(CSC(=N)N)N
cid_171,C(CSCC(C(=O)O)N)C(C(=O)O)N
cid_172,C(CSC[C@@H](C(=O)O)N)O
