index	h_id	uniprot_id
113	h_113	A2BG43
214	h_214	P91645
224	h_224	Q3TDX8
234	h_234	H2KZW3
351	h_351	Q9P2W7
404	h_404	P19826
432	h_432	Q9BMN8
486	h_486	O95255
522	h_522	V6CLJ5
688	h_688	O35409
721	h_721	Q86YG4
729	h_729	O35789
804	h_804	Q5GIG6
868	h_868	Q9U2I0
1011	h_1011	Q9BLY8
1109	h_1109	O76689
1189	h_1189	P23678
1211	h_1211	P34609
1275	h_1275	O19094
1323	h_1323	O16520
1391	h_1391	Q09277
1403	h_1403	Q18680
1427	h_1427	Q64331
1622	h_1622	Q9XUV0
1634	h_1634	O45657
1656	h_1656	P91247
1671	h_1671	Q17388
1727	h_1727	Q20176
1757	h_1757	Q20636
1787	h_1787	Q01968
1806	h_1806	Q16513
1470	h_1470	A1IMB8
1662	h_1662	A3QMC5
1226	h_1226	A3QMC8
1874	h_1874	A4LBC2
704	h_704	A5HWB2
1688	h_1688	A5JYU5
1778	h_1778	A5PEW5
1476	h_1476	A5PEY3
602	h_602	A7DTF2
727	h_727	A7LPD8
363	h_363	A7LPG1
1480	h_1480	A7LPG5
899	h_899	A7UQ09
962	h_962	A7WK41
1766	h_1766	A8WFI7
1637	h_1637	A8WHT8
584	h_584	A8XJ93
908	h_908	A9D2X7
503	h_503	A9UJN4
1296	h_1296	A9Z1L1
493	h_493	B1GRK5
1532	h_1532	B1V8A0
96	h_96	B2FDA8
1500	h_1500	B3GWA1
535	h_535	B3KYC0
170	h_170	B5BM27
163	h_163	B5BM30
1137	h_1137	B5BM46
762	h_762	B5BM47
1821	h_1821	B6VQ60
1231	h_1231	B6VQ90
937	h_937	B6VQ95
839	h_839	B7FAS8
728	h_728	B7WN66
1750	h_1750	B7WN72
108	h_108	B7WNA0
1679	h_1679	C2BR97
1307	h_1307	D6VPA1
1818	h_1818	G4RYA5
786	h_786	G4SN66
1446	h_1446	G4SNS6
1782	h_1782	G4SRS5
1851	h_1851	G5EBF4
607	h_607	G5EBF7
1170	h_1170	G5EBH0
744	h_744	G5EBI4
1077	h_1077	G5EBJ7
1533	h_1533	G5EBK3
1166	h_1166	G5EBN9
1759	h_1759	G5EBR7
632	h_632	G5EBS1
341	h_341	G5EBT9
338	h_338	G5EBU3
736	h_736	G5EBV0
1561	h_1561	G5EBW2
1557	h_1557	G5EBW5
1511	h_1511	G5EBX5
699	h_699	G5EBX6
466	h_466	G5EBX8
1647	h_1647	G5EBX9
1844	h_1844	G5EBY3
1812	h_1812	G5EBZ1
1360	h_1360	G5EC10
1650	h_1650	G5EC16
941	h_941	G5EC24
1850	h_1850	G5EC30
1547	h_1547	G5EC31
1733	h_1733	G5EC44
449	h_449	G5EC75
1617	h_1617	G5EC96
145	h_145	G5EC98
1324	h_1324	G5ECA0
1408	h_1408	G5ECB2
1726	h_1726	G5ECB5
1692	h_1692	G5ECC0
125	h_125	G5ECC3
1254	h_1254	G5ECD7
1448	h_1448	G5ECE3
508	h_508	G5ECE8
423	h_423	G5ECH0
665	h_665	G5ECH3
1554	h_1554	G5ECH7
569	h_569	G5ECI8
515	h_515	G5ECJ0
24	h_24	G5ECJ6
1358	h_1358	G5ECL7
206	h_206	G5ECM4
484	h_484	G5ECM6
1728	h_1728	G5ECN1
1359	h_1359	G5ECQ8
677	h_677	G5ECR6
1106	h_1106	G5ECR8
333	h_333	G5ECS4
1314	h_1314	G5ECU4
867	h_867	G5ECU5
69	h_69	G5ECV9
1863	h_1863	G5ECX0
1708	h_1708	G5ECY0
1255	h_1255	G5ECY2
142	h_142	G5ECY6
1174	h_1174	G5ECZ0
1834	h_1834	G5ED01
748	h_748	G5ED07
1785	h_1785	G5ED41
987	h_987	G5ED44
1729	h_1729	G5ED80
414	h_414	G5ED87
405	h_405	G5ED95
127	h_127	G5EDB7
787	h_787	G5EDD4
1841	h_1841	G5EDE4
1477	h_1477	G5EDE8
190	h_190	G5EDF5
1285	h_1285	G5EDF7
679	h_679	G5EDF9
1098	h_1098	G5EDH0
1222	h_1222	G5EDH8
1754	h_1754	G5EDI8
1107	h_1107	G5EDM5
895	h_895	G5EDN0
1683	h_1683	G5EDN1
520	h_520	G5EDR3
1522	h_1522	G5EDS5
507	h_507	G5EDU3
1214	h_1214	G5EDW2
1386	h_1386	G5EDW5
902	h_902	G5EDW8
549	h_549	G5EDY0
521	h_521	G5EDY2
