cid,smiles
cid_0,B#B
cid_1,B#N
cid_2,B(C1=CC=CC=C1)(O)O
cid_3,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
cid_4,B([C@H](CCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CC2=CC=CC=C2)NC(=O)C)(O)O
cid_5,B1(OCCO1)OCC2=CC=C(C=C2)C(=[NH2+])N
cid_6,B1(OCCO1)OCCCC[NH3+]
cid_7,B1(OCCO1)OCCC[NH+]=C(N)N
cid_8,C
cid_9,C#C
cid_10,C#CC(CCC(=O)O)N
cid_11,C#CCC(C(=O)O)N
cid_12,C#CCN(CC1=CC2=C(C=C1)NC(=NC2=O)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
cid_13,C#CCN[C@@H]1CCC2=C1C=C(C=C2)O
cid_14,C#CCO
cid_15,C#C[C@H]1CC[C@H](N1C(=O)[C@H](C2CCCC2)N)CN
cid_16,C#C[C@]1([C@H](C[C@@H](O1)N2C=NC3=C2N=C(N=C3N)F)O)CO
cid_17,C#[C]
cid_18,C(=C(\O)/[O-])\[C@H](C(=O)[O-])O
cid_19,C(=C/C(=O)O)\C(=O)O
cid_20,C(=N)(N)N
cid_21,C(=NN)(N)N
cid_22,C(=O)(C(=O)O)C(=O)O
cid_23,C(=O)(C(=O)O)N
cid_24,C(=O)(C(=O)O)O
cid_25,C(=O)(C(=O)[O-])N
cid_26,C(=O)(C(=O)[O-])[O-]
cid_27,C(=O)(C(Br)(Br)Br)[O-]
cid_28,C(=O)(C(F)(F)F)O
cid_29,C(=O)(N)N
cid_30,C(=O)(N)[O-]
cid_31,C(=O)(O)[O-]
cid_32,C(=O)([O-])[O-]
cid_33,C(=O)=O
cid_34,C(=O)=S
cid_35,C(=O)C(=O)O
cid_36,C(=O)Cl
cid_37,C(=O)[O-]
cid_38,C(=S)(NN)NN
cid_39,C(C#N)C(C(=O)O)N
cid_40,C(C(=O)C(=O)O)S(=O)(=O)O
cid_41,C(C(=O)COP(=O)(O)O)O
cid_42,C(C(=O)N)N
cid_43,C(C(=O)N)O
cid_44,C(C(=O)O)(C(=O)O)N
cid_45,C(C(=O)O)(F)F
cid_46,C(C(=O)O)C(=O)O
cid_47,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
cid_48,C(C(=O)O)N
cid_49,C(C(=O)O)NC(CO)(CO)CO
cid_50,C(C(=O)O)O
cid_51,C(C(=O)[O-])Br
cid_52,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)O)O
cid_53,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
cid_54,C(C(=O)[O-])F
cid_55,C(C(C(=O)O)F)[NH3+]
cid_56,C(C(C(=O)O)N)C(=O)N
cid_57,C(C(C(=O)O)NC(=O)CN)C(=O)O
cid_58,C(C(C(=O)O)O)(C(=O)O)O
cid_59,C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O
cid_60,C(C(C(=O)O)S)(C(=O)O)S
cid_61,C(C(C(=O)[O-])[O-])(C(=O)[O-])[O-]
cid_62,C(C(C(C(=O)CO)O)O)O
cid_63,C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O
cid_64,C(C(C(C(C(=O)CO)O)O)O)O
cid_65,C(C(C(C(C(C(=O)O)O)O)O)O)O
cid_66,C(C(C(C(C(C(C=O)O)O)O)O)O)O
cid_67,C(C(C(C(C(C=O)N)O)O)O)O
cid_68,C(C(C(C(C(C=O)O)O)O)O)O
cid_69,C(C(CC(=O)O)C(=O)O)C(=O)O
cid_70,C(C(CN)O)C(=O)O
cid_71,C(C(CO)O)O
cid_72,C(C(F)(F)F)O
cid_73,C(C1=C(C(=C(C(=C1F)F)F)F)F)O
cid_74,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(CO)O)O)CO)O)O)O)O
cid_75,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O
cid_76,C(C1C(C(C(C(O1)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O
cid_77,C(C1C(C(C(O1)O)O)O)O
cid_78,C(C1C([C@H]([C@@H]([C@H](O1)O)O)O)O)O
