index	h_id	uniprot_id
0	h_0	P28221
1	h_1	Q9Y6I3
2	h_2	Q01650
3	h_3	Q9Y2D0
4	h_4	O94766
5	h_5	P31645
6	h_6	P11137
7	h_7	P04632
8	h_8	P54652
9	h_9	Q9Y6R4
10	h_10	P51003
11	h_11	P63098
12	h_12	Q9UPY3
13	h_13	Q01082
14	h_14	P21695
15	h_15	P27824
16	h_16	P00387
17	h_17	P04062
18	h_18	Q99720
19	h_19	P30273
20	h_20	P49221
21	h_21	Q9H7Z6
22	h_22	Q9H3S4
23	h_23	P08697
24	h_24	O95470
25	h_25	Q02641
26	h_26	Q13107
27	h_27	Q01740
28	h_28	Q9Y5Y4
29	h_29	Q8IYT8
30	h_30	P47895
31	h_31	Q9HAQ2
32	h_32	P19440
33	h_33	Q9Y617
34	h_34	P24530
35	h_35	P13051
36	h_36	H2QKC9
37	h_37	O60294
38	h_38	Q8TCU5
39	h_39	P80188
40	h_40	P78536
41	h_41	P36542
42	h_42	P02818
43	h_43	Q9Y257
44	h_44	Q9Y5K2
45	h_45	Q13258
46	h_46	P56696
47	h_47	Q9UBE0
48	h_48	Q02750
49	h_49	P24385
50	h_50	P25440
51	h_51	Q96LZ3
52	h_52	O75676
53	h_53	P22455
54	h_54	P31323
55	h_55	Q6NYC1
56	h_56	P37058
57	h_57	Q15181
58	h_58	K7CY17
59	h_59	P05026
60	h_60	P15144
61	h_61	P35749
62	h_62	P20674
63	h_63	P00966
64	h_64	Q03431
65	h_65	Q16836
66	h_66	Q99928
67	h_67	P30519
68	h_68	P08069
69	h_69	P51451
70	h_70	P02144
71	h_71	P06239
72	h_72	O95749
73	h_73	Q14315
74	h_74	P09467
75	h_75	P30405
76	h_76	Q3LIE5
77	h_77	Q14289
78	h_78	P00480
79	h_79	P10827
80	h_80	Q16762
81	h_81	Q16478
82	h_82	P17213
83	h_83	Q9BY49
84	h_84	Q8WUI4
85	h_85	P00734
86	h_86	P34896
87	h_87	Q86TI2
88	h_88	P49589
89	h_89	Q9ULZ9
90	h_90	Q12852
91	h_91	P35968
92	h_92	Q01469
93	h_93	P00813
94	h_94	P35228
95	h_95	Q9H4Y5
96	h_96	Q96A44
97	h_97	P20711
98	h_98	Q9Y3B4
99	h_99	P11310
100	h_100	P49721
101	h_101	Q6UWM7
102	h_102	Q92569
103	h_103	P01116
104	h_104	P14854
105	h_105	Q9NRF9
106	h_106	P50336
107	h_107	P30305
108	h_108	P08243
109	h_109	Q86Y97
110	h_110	P00374
111	h_111	P20839
112	h_112	Q16270
113	h_113	Q9HBA0
114	h_114	P42345
115	h_115	Q15796
116	h_116	P54577
117	h_117	P07919
118	h_118	G4XH65
119	h_119	O60264
120	h_120	P13726
121	h_121	P20132
122	h_122	P43235
123	h_123	P15954
124	h_124	P05981
125	h_125	P06213
126	h_126	P00156
127	h_127	P00519
128	h_128	K7CBH8
129	h_129	O60895
130	h_130	P06401
131	h_131	O00206
132	h_132	Q8N139
133	h_133	P15259
134	h_134	P02461
135	h_135	P21554
136	h_136	Q00975
137	h_137	O60760
138	h_138	Q16740
139	h_139	O95255
140	h_140	P69905
141	h_141	P06576
142	h_142	P13073
143	h_143	P29475
144	h_144	O43497
145	h_145	Q9UQM7
146	h_146	Q15375
147	h_147	Q9NP99
148	h_148	P02452
149	h_149	P03897
150	h_150	P42684
151	h_151	P18505
152	h_152	P13945
153	h_153	Q6JVE9
154	h_154	P08253
155	h_155	Q9UKV8
156	h_156	P62508
157	h_157	Q9Y6Y9
158	h_158	P31146
159	h_159	Q96MW5
160	h_160	P05413
161	h_161	Q9UBT6
162	h_162	P07737
163	h_163	P26358
164	h_164	O43353
165	h_165	O15151
166	h_166	Q99704
167	h_167	P08709
168	h_168	Q8NFM4
169	h_169	O00217
170	h_170	P08294
171	h_171	Q8WWI5
172	h_172	Q99683
173	h_173	Q12906
174	h_174	Q96BH3
175	h_175	P36952
176	h_176	P40261
177	h_177	P28332
178	h_178	P12318
179	h_179	Q08AH3
180	h_180	P30926
181	h_181	O14646
182	h_182	P22735
183	h_183	Q16772
184	h_184	P13569
185	h_185	P21549
186	h_186	Q9UGP5
187	h_187	P14679
188	h_188	Q9HBL8
189	h_189	P41143
190	h_190	P35398
191	h_191	P10646
192	h_192	Q8N4E7
193	h_193	P49448
194	h_194	P16083
195	h_195	Q13363
196	h_196	P32322
197	h_197	P42261
198	h_198	Q01959
199	h_199	P05062
200	h_200	P13929
201	h_201	P48058
202	h_202	P22303
203	h_203	Q92831
204	h_204	Q01064
205	h_205	P43490
206	h_206	Q9Y285
207	h_207	P07949
208	h_208	P09874
209	h_209	O95881
210	h_210	P01909
211	h_211	Q9Y6A2
212	h_212	J3KNB4
213	h_213	O15540
214	h_214	Q96C24
215	h_215	Q8IUH5
216	h_216	Q9UNA0
217	h_217	Q9ULW5
218	h_218	P04181
219	h_219	P45381
220	h_220	P00403
221	h_221	O60391
222	h_222	P50897
223	h_223	P15086
224	h_224	P20339
225	h_225	P11498
226	h_226	P35354
227	h_227	Q7Z4J2
228	h_228	Q14416
229	h_229	P35462
230	h_230	Q06278
231	h_231	Q15858
232	h_232	P29034
233	h_233	Q13976
234	h_234	P21439
235	h_235	P00167
236	h_236	Q99574
237	h_237	Q5JWF2
238	h_238	P0C0L4
239	h_239	O14521
240	h_240	Q96QT4
241	h_241	Q9UKK9
242	h_242	Q16513
243	h_243	P21964
244	h_244	Q9NWT6
245	h_245	Q9NYK1
246	h_246	P23786
247	h_247	P09871
248	h_248	P36897
249	h_249	P20594
250	h_250	Q9BX84
251	h_251	Q02127
252	h_252	P60879
253	h_253	D0VY79
254	h_254	Q9Y3R4
255	h_255	Q9BR01
256	h_256	Q92753
257	h_257	P42336
258	h_258	Q9NSA0
259	h_259	P61278
260	h_260	P12268
261	h_261	Q8N8R3
262	h_262	P51168
263	h_263	P16930
264	h_264	O75911
265	h_265	P10600
266	h_266	P43116
267	h_267	Q9P0L2
268	h_268	Q96C86
269	h_269	Q9UBP6
270	h_270	Q8NE62
271	h_271	Q9Y3Y4
272	h_272	P15260
273	h_273	Q14344
274	h_274	Q15303
275	h_275	P98194
276	h_276	Q9UBK8
277	h_277	Q96AZ6
278	h_278	Q9UQ80
279	h_279	P48147
280	h_280	P24752
281	h_281	P02768
282	h_282	P54829
283	h_283	Q9Y376
284	h_284	P17181
285	h_285	P21980
286	h_286	H2QQR5
287	h_287	P17752
288	h_288	P16870
289	h_289	P17787
290	h_290	Q53HL2
291	h_291	Q8WVY7
292	h_292	P12277
293	h_293	P51843
294	h_294	P48443
295	h_295	P27986
296	h_296	Q3ZCW2
297	h_297	P54760
298	h_298	Q8TD19
299	h_299	P05452
300	h_300	P00492
301	h_301	P04818
302	h_302	P09104
303	h_303	P19113
304	h_304	P47871
305	h_305	Q05940
306	h_306	Q9UHY7
307	h_307	Q9BZP6
308	h_308	P01023
309	h_309	Q9Y6M4
310	h_310	P04183
311	h_311	Q13509
312	h_312	O43708
313	h_313	Q9UGM1
314	h_314	P09210
315	h_315	Q9H477
316	h_316	P37088
317	h_317	Q9Y2I1
318	h_318	O43920
319	h_319	P14616
320	h_320	Q13332
321	h_321	P56817
322	h_322	P13637
323	h_323	O75436
324	h_324	O00222
325	h_325	Q8N0U8
326	h_326	P48549
327	h_327	Q9HD89
328	h_328	P08588
329	h_329	O60942
330	h_330	P27695
331	h_331	O14874
332	h_332	Q86VW2
333	h_333	P10109
334	h_334	P01270
335	h_335	O14556
336	h_336	P48061
337	h_337	P51649
338	h_338	Q96L34
339	h_339	Q9Y666
340	h_340	Q9HB21
341	h_341	P42338
342	h_342	Q9NXG6
343	h_343	P22314
344	h_344	P14174
345	h_345	P33261
346	h_346	Q8TAM1
347	h_347	Q494W8
348	h_348	Q9NUW8
349	h_349	P0DJD8
350	h_350	P49821
351	h_351	P36544
352	h_352	Q9BQB6
353	h_353	P07686
354	h_354	P45452
355	h_355	Q9NY46
356	h_356	Q05655
357	h_357	Q9UI09
358	h_358	P78362
359	h_359	Q05586
360	h_360	Q07954
361	h_361	Q9P1Q0
362	h_362	P00505
363	h_363	Q9BVA1
364	h_364	Q9HCR9
365	h_365	P01584
366	h_366	O15118
367	h_367	Q9UKU7
368	h_368	Q8N9I0
369	h_369	P46934
370	h_370	O00401
371	h_371	P37059
372	h_372	Q03591
373	h_373	P25092
374	h_374	Q16568
375	h_375	Q9Y251
376	h_376	P53004
377	h_377	Q96JH8
378	h_378	P08574
379	h_379	P51606
380	h_380	Q9Y600
381	h_381	P38606
382	h_382	Q92731
383	h_383	P16234
384	h_384	P22830
385	h_385	Q13131
386	h_386	Q9NR97
387	h_387	Q9BVJ7
388	h_388	O75460
389	h_389	O00469
390	h_390	H2QFA4
391	h_391	Q9UJ41
392	h_392	P08908
393	h_393	P04070
394	h_394	P0CG29
395	h_395	P31930
396	h_396	P49747
397	h_397	P07858
398	h_398	P34059
399	h_399	Q9BV79
400	h_400	P30825
401	h_401	Q15382
402	h_402	P24462
403	h_403	P08620
404	h_404	P23416
405	h_405	Q8IWU9
406	h_406	P29972
407	h_407	P02788
408	h_408	Q9NTJ3
409	h_409	P40939
410	h_410	O43181
411	h_411	Q02763
412	h_412	P49189
413	h_413	Q14749
414	h_414	Q9UL51
415	h_415	Q6ZQY3
416	h_416	O14976
417	h_417	P31153
418	h_418	P31150
419	h_419	Q16853
420	h_420	P08559
421	h_421	O95445
422	h_422	Q9ULV8
423	h_423	P07203
424	h_424	O43741
425	h_425	P98153
426	h_426	A5A6J1
427	h_427	Q9UM73
428	h_428	Q9NWM0
429	h_429	O60939
430	h_430	P11717
431	h_431	P22748
432	h_432	P40616
433	h_433	P17900
434	h_434	P04424
435	h_435	P05177
436	h_436	Q9ULA0
437	h_437	Q16515
438	h_438	P06280
439	h_439	P05089
440	h_440	Q14181
441	h_441	Q9NVP1
442	h_442	P37231
443	h_443	Q86XF0
444	h_444	Q00722
445	h_445	P29762
446	h_446	P43405
447	h_447	P21731
448	h_448	Q16620
449	h_449	O43681
450	h_450	P05166
451	h_451	Q04917
452	h_452	P63316
453	h_453	Q14155
454	h_454	P54619
455	h_455	O95819
456	h_456	P41240
457	h_457	Q04828
458	h_458	O43776
459	h_459	P02511
460	h_460	P08519
461	h_461	P09238
462	h_462	Q99470
463	h_463	P11142
464	h_464	Q8N0W4
465	h_465	P49247
466	h_466	Q07912
467	h_467	P31751
468	h_468	P49441
469	h_469	P51170
470	h_470	P35625
471	h_471	Q9Y6R1
472	h_472	O14936
473	h_473	Q9Y2U5
474	h_474	Q9UJ71
475	h_475	P11217
476	h_476	Q9BYZ2
477	h_477	Q9UHI5
478	h_478	P10721
479	h_479	Q9UPN6
480	h_480	P10636
481	h_481	P14927
482	h_482	P50213
483	h_483	P14866
484	h_484	Q9H6I2
485	h_485	O15244
486	h_486	Q14807
487	h_487	Q08426
488	h_488	Q96A70
489	h_489	O60858
490	h_490	P08174
491	h_491	P11684
492	h_492	P34741
493	h_493	P12314
494	h_494	Q16831
495	h_495	P11388
496	h_496	P08684
497	h_497	Q8NHR9
498	h_498	P21462
499	h_499	Q9UBV7
500	h_500	Q8WY07
501	h_501	H2Q919
502	h_502	O43570
503	h_503	Q06432
504	h_504	Q9UI42
505	h_505	P48544
506	h_506	Q96NT5
507	h_507	P23141
508	h_508	P41594
509	h_509	Q9P2W7
510	h_510	Q8N8N7
511	h_511	P52788
512	h_512	Q03393
513	h_513	Q04760
514	h_514	P14735
515	h_515	H2QZZ4
516	h_516	P51161
517	h_517	P58753
518	h_518	P21802
519	h_519	P11182
520	h_520	P16455
521	h_521	P01185
522	h_522	Q9BZI7
523	h_523	P05556
524	h_524	P28331
525	h_525	Q7L266
526	h_526	O43704
527	h_527	P21912
528	h_528	Q9P2J5
529	h_529	Q9NW38
530	h_530	P12236
531	h_531	Q07075
532	h_532	O75489
533	h_533	O43414
534	h_534	P22607
535	h_535	P04798
536	h_536	P17342
537	h_537	P31040
538	h_538	P98170
539	h_539	P11172
540	h_540	P05181
541	h_541	Q9GZZ6
542	h_542	P07098
543	h_543	P25103
544	h_544	P06731
545	h_545	P53355
546	h_546	Q07817
547	h_547	O43854
548	h_548	P12955
549	h_549	P05787
550	h_550	O15145
551	h_551	Q13822
552	h_552	Q06187
553	h_553	P02766
554	h_554	Q16877
555	h_555	O00255
556	h_556	P20231
557	h_557	P78527
558	h_558	P42892
559	h_559	P01178
560	h_560	Q00653
561	h_561	P30793
562	h_562	P14410
563	h_563	P35222
564	h_564	P09917
565	h_565	Q14432
566	h_566	O60658
567	h_567	P61073
568	h_568	O15440
569	h_569	Q12908
570	h_570	P35498
571	h_571	P14770
572	h_572	Q9Y286
573	h_573	P46059
574	h_574	P49792
575	h_575	P21817
576	h_576	O75469
577	h_577	Q9Y6L6
578	h_578	P35348
579	h_579	Q9Y5K5
580	h_580	P33260
581	h_581	Q8TEK3
582	h_582	Q9Y4D2
583	h_583	Q14524
584	h_584	P14210
585	h_585	P22681
586	h_586	P43220
587	h_587	P07204
588	h_588	P19438
589	h_589	Q99798
590	h_590	Q15596
591	h_591	P46926
592	h_592	Q00534
593	h_593	Q9NWX6
594	h_594	Q9HC10
595	h_595	P14555
596	h_596	Q16678
597	h_597	Q02338
598	h_598	Q07001
599	h_599	Q15067
600	h_600	P02708
601	h_601	O14949
602	h_602	P08913
603	h_603	O75936
604	h_604	P50052
605	h_605	P30837
606	h_606	P54802
607	h_607	Q9Y6M7
608	h_608	P17936
609	h_609	Q16773
610	h_610	P07510
611	h_611	P55318
612	h_612	Q16288
613	h_613	P01730
614	h_614	P19099
615	h_615	P15531
616	h_616	P43003
617	h_617	P00414
618	h_618	P15056
619	h_619	P13489
620	h_620	P15927
621	h_621	Q05901
622	h_622	Q9UBZ9
623	h_623	Q12888
624	h_624	O15530
625	h_625	P01589
626	h_626	P09958
627	h_627	P12724
628	h_628	Q13285
629	h_629	Q13423
630	h_630	Q14573
631	h_631	Q9Y646
632	h_632	P23258
633	h_633	P48736
634	h_634	O60603
635	h_635	P07550
636	h_636	P35558
637	h_637	Q12797
638	h_638	Q9NTG7
639	h_639	P28472
640	h_640	P02671
641	h_641	P11474
642	h_642	P23526
643	h_643	Q9H2G2
644	h_644	O76003
645	h_645	P68400
646	h_646	P32238
647	h_647	Q7L0J3
648	h_648	B0LPE5
649	h_649	P02743
650	h_650	P28329
651	h_651	Q8TAA3
652	h_652	P52179
653	h_653	Q07837
654	h_654	O60610
655	h_655	P11230
656	h_656	Q04609
657	h_657	P08123
658	h_658	P35372
659	h_659	Q96FJ0
660	h_660	Q9NRE1
661	h_661	Q6W5P4
662	h_662	Q9Y616
663	h_663	P11362
664	h_664	Q8TDB6
665	h_665	Q9ULJ8
666	h_666	P19634
667	h_667	P20061
668	h_668	Q9UQF2
669	h_669	A8YXX4
670	h_670	Q9UK32
671	h_671	P23921
672	h_672	P09622
673	h_673	O95665
674	h_674	P14920
675	h_675	P01189
676	h_676	Q07343
677	h_677	P07585
678	h_678	P09848
679	h_679	Q13231
680	h_680	Q9BZ29
681	h_681	Q9UBC0
682	h_682	Q12830
683	h_683	Q9UNN8
684	h_684	Q9UJY5
685	h_685	Q96EN8
686	h_686	O00763
687	h_687	P03950
688	h_688	P61626
689	h_689	P14625
690	h_690	Q96QZ7
691	h_691	P11086
692	h_692	Q5VVH2
693	h_693	P56937
694	h_694	P48029
695	h_695	P49591
696	h_696	Q99808
697	h_697	O76083
698	h_698	P09172
699	h_699	Q16584
700	h_700	Q9UMF0
701	h_701	P62753
702	h_702	P08048
703	h_703	O43674
704	h_704	O15144
705	h_705	Q9NZ08
706	h_706	Q09428
707	h_707	O14939
708	h_708	J3KN83
709	h_709	Q8WTV0
710	h_710	P15559
711	h_711	Q07973
712	h_712	P41743
713	h_713	P00746
714	h_714	Q12866
715	h_715	Q9H4B7
716	h_716	P21796
717	h_717	P51512
718	h_718	O00591
719	h_719	Q9NVJ2
720	h_720	P99999
721	h_721	Q9Y3D2
722	h_722	O15403
723	h_723	P48745
724	h_724	P16066
725	h_725	Q9NRK6
726	h_726	Q9BZV2
727	h_727	E5FQ58
728	h_728	Q00796
729	h_729	P98160
730	h_730	P08172
731	h_731	P21673
732	h_732	Q08209
733	h_733	P17812
734	h_734	P07359
735	h_735	Q03426
736	h_736	Q9BWD1
737	h_737	P23434
738	h_738	Q96CD2
739	h_739	P03915
740	h_740	P25054
741	h_741	Q14957
742	h_742	Q99714
743	h_743	P22459
744	h_744	O00329
745	h_745	P18031
746	h_746	P04054
747	h_747	P53611
748	h_748	Q13698
749	h_749	Q9UM07
750	h_750	P49411
751	h_751	P07602
752	h_752	P19404
753	h_753	P25705
754	h_754	P11168
755	h_755	P53582
756	h_756	Q96IV0
757	h_757	P05771
758	h_758	P08100
759	h_759	P35557
760	h_760	Q8NBK3
761	h_761	Q9NY33
762	h_762	O14818
763	h_763	P08842
764	h_764	P14867
765	h_765	P01024
766	h_766	Q99661
767	h_767	P40926
768	h_768	P24666
769	h_769	P31939
770	h_770	Q9H1K4
771	h_771	P42768
772	h_772	Q08881
773	h_773	Q12879
774	h_774	Q8NCD3
775	h_775	P16219
776	h_776	O95139
777	h_777	P15328
778	h_778	P17050
779	h_779	Q53H82
780	h_780	P35368
781	h_781	P68363
782	h_782	P24855
783	h_783	Q9NYX4
784	h_784	O43526
785	h_785	Q9NSE4
786	h_786	Q8N1C3
787	h_787	P02585
788	h_788	P08581
789	h_789	P20062
790	h_790	P05165
791	h_791	P29275
792	h_792	P68036
793	h_793	P12271
794	h_794	Q9UJT1
795	h_795	P11177
796	h_796	Q99758
797	h_797	Q7KZF4
798	h_798	P26639
799	h_799	Q5TDP6
800	h_800	P35790
801	h_801	P47869
802	h_802	P51511
803	h_803	D3DPA4
804	h_804	Q9GZT9
805	h_805	P05067
806	h_806	P15309
807	h_807	Q8NC06
808	h_808	O95169
809	h_809	Q09013
810	h_810	Q14500
811	h_811	P49720
812	h_812	P06744
813	h_813	O15455
814	h_814	P59998
815	h_815	Q8IUR0
816	h_816	Q9HCD5
817	h_817	P36021
818	h_818	Q9H3R0
819	h_819	O43252
820	h_820	P15170
821	h_821	Q96CA5
822	h_822	Q16775
823	h_823	Q99436
824	h_824	P02675
825	h_825	Q9Y6F1
826	h_826	P47224
827	h_827	Q9BY41
828	h_828	Q08334
829	h_829	P11166
830	h_830	P31949
831	h_831	P55055
832	h_832	P17174
833	h_833	P29274
834	h_834	Q96PD5
835	h_835	Q9Y694
836	h_836	P08637
837	h_837	Q13464
838	h_838	P16333
839	h_839	P62258
840	h_840	P07333
841	h_841	P12235
842	h_842	Q9Y5P4
843	h_843	P52799
844	h_844	Q02809
845	h_845	P21917
846	h_846	Q9NPB1
847	h_847	P49336
848	h_848	P00367
849	h_849	P04271
850	h_850	P04049
851	h_851	Q02880
852	h_852	P43080
853	h_853	P32969
854	h_854	P43119
855	h_855	Q8WWV3
856	h_856	P23415
857	h_857	P19174
858	h_858	O00519
859	h_859	P30041
860	h_860	Q03403
861	h_861	Q8TC12
862	h_862	Q9UPY5
863	h_863	Q07699
864	h_864	P12429
865	h_865	O15431
866	h_866	P54687
867	h_867	P33681
868	h_868	Q9UDW1
869	h_869	P07339
870	h_870	P43004
871	h_871	Q9Y5Y6
872	h_872	P20472
873	h_873	P62942
874	h_874	P11229
875	h_875	Q86WA6
876	h_876	Q7Z4W1
877	h_877	P41180
878	h_878	O60911
879	h_879	P23381
880	h_880	P07741
881	h_881	O60271
882	h_882	Q16445
883	h_883	P01911
884	h_884	P45954
885	h_885	P30049
886	h_886	O00483
887	h_887	O43837
888	h_888	P61927
889	h_889	P27707
890	h_890	Q13255
891	h_891	P00338
892	h_892	P06732
893	h_893	P52848
894	h_894	Q07889
895	h_895	O94925
896	h_896	P01100
897	h_897	Q9P2R7
898	h_898	Q9NZD2
899	h_899	Q01968
900	h_900	P49366
901	h_901	Q15835
902	h_902	Q92637
903	h_903	Q9Y243
904	h_904	Q6WRI0
905	h_905	Q9UM54
906	h_906	Q16854
907	h_907	O15245
908	h_908	Q15788
909	h_909	P16118
910	h_910	Q13936
911	h_911	O15511
912	h_912	Q8TF65
913	h_913	Q9UJS0
914	h_914	O14832
915	h_915	P52732
916	h_916	Q16647
917	h_917	P00749
918	h_918	O95479
919	h_919	P34969
920	h_920	P09960
921	h_921	Q13085
922	h_922	P56524
923	h_923	Q9BYF1
924	h_924	O60882
925	h_925	P31350
926	h_926	Q8WUJ0
927	h_927	P50440
928	h_928	P31994
929	h_929	P21397
930	h_930	O15217
931	h_931	P19793
932	h_932	P50281
933	h_933	P08758
934	h_934	P02751
935	h_935	Q9Y5Y9
936	h_936	P27487
937	h_937	P51813
938	h_938	Q16832
939	h_939	Q96HD9
940	h_940	Q9UBX1
941	h_941	Q01853
942	h_942	Q9UKG9
943	h_943	Q5SRE7
944	h_944	P43088
945	h_945	O15554
946	h_946	P42263
947	h_947	P05141
948	h_948	P10826
949	h_949	Q8TF76
950	h_950	Q92871
951	h_951	Q9Y2C4
952	h_952	P49356
953	h_953	P04350
954	h_954	Q12794
955	h_955	Q04721
956	h_956	P51589
957	h_957	P19971
958	h_958	Q15223
959	h_959	P35916
960	h_960	P12694
961	h_961	Q99884
962	h_962	P48449
963	h_963	P19235
964	h_964	P46063
965	h_965	P06870
966	h_966	P09669
967	h_967	Q13188
968	h_968	Q9NRJ5
969	h_969	Q96Q83
970	h_970	P22102
971	h_971	P21589
972	h_972	Q8TDZ2
973	h_973	P36871
974	h_974	P47985
975	h_975	P13196
976	h_976	P04406
977	h_977	Q9BYT8
978	h_978	Q13393
979	h_979	P59796
980	h_980	P09417
981	h_981	Q01718
982	h_982	Q16623
983	h_983	P52569
984	h_984	O00204
985	h_985	Q96I99
986	h_986	P49841
987	h_987	P25100
988	h_988	P05113
989	h_989	Q99542
990	h_990	O14727
991	h_991	P13500
992	h_992	P42658
993	h_993	P35030
994	h_994	Q16654
995	h_995	P19883
996	h_996	Q9Y2J8
997	h_997	Q9UBQ6
998	h_998	P22223
999	h_999	Q04864
1000	h_1000	P14784
1001	h_1001	O15269
1002	h_1002	P25788
1003	h_1003	Q92794
1004	h_1004	P10145
1005	h_1005	P0CG47
1006	h_1006	P16152
1007	h_1007	P02753
1008	h_1008	P17600
1009	h_1009	Q9P286
1010	h_1010	P35080
1011	h_1011	O14773
1012	h_1012	O75251
1013	h_1013	P35670
1014	h_1014	Q9BZR6
1015	h_1015	Q63ZE4
1016	h_1016	Q13370
1017	h_1017	Q00535
1018	h_1018	P00352
1019	h_1019	Q13003
1020	h_1020	P53041
1021	h_1021	P08238
1022	h_1022	F1D8N4
1023	h_1023	P10253
1024	h_1024	P32418
1025	h_1025	P53597
1026	h_1026	Q92887
1027	h_1027	P61313
1028	h_1028	P01579
1029	h_1029	Q12809
1030	h_1030	P01133
1031	h_1031	P52333
1032	h_1032	Q9UDR5
1033	h_1033	Q9NRR6
1034	h_1034	P50135
1035	h_1035	P49638
1036	h_1036	O96017
1037	h_1037	Q16822
1038	h_1038	P10176
1039	h_1039	P43026
1040	h_1040	P49765
1041	h_1041	P10620
1042	h_1042	P00558
1043	h_1043	P20702
1044	h_1044	Q9NY47
1045	h_1045	Q6ZMR3
1046	h_1046	Q99584
1047	h_1047	Q06203
1048	h_1048	O75751
1049	h_1049	P10415
1050	h_1050	P36888
1051	h_1051	P04278
1052	h_1052	O95864
1053	h_1053	P13224
1054	h_1054	P60953
1055	h_1055	B7Z3A9
1056	h_1056	V9HWI6
1057	h_1057	Q14831
1058	h_1058	P28845
1059	h_1059	Q16873
1060	h_1060	P51788
1061	h_1061	P01303
1062	h_1062	O75116
1063	h_1063	P30419
1064	h_1064	Q8WZ73
1065	h_1065	O15550
1066	h_1066	Q16718
1067	h_1067	P02545
1068	h_1068	J9JID4
1069	h_1069	P09488
